currency_pair,data_timestamp,db_timestamp,max,min,mean,vol,fd,_id
USDEUR,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.779397,0.8853,0.885,0.8852112903225806,0.00033890213927416547,0.0,68140af05bf39a1b89a5ab00
USDCAD,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.790420,1.3848,1.3844,1.3846354838709678,0.00028888469540134317,0.0,68140af05bf39a1b89a5ab01
USDGBP,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.798289,0.7527,0.7525,0.752658064516129,0.0002657249147109924,0.0,68140af05bf39a1b89a5ab02
USDCHF,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.805774,0.8291,0.8288,0.8289564516129032,0.0003619007963762825,0.0,68140af05bf39a1b89a5ab03
USDAUD,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.813778,1.5659,1.5647,1.5653693548387095,0.000766592239902214,0.0,68140af05bf39a1b89a5ab04
EURCHF,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.822033,0.9366,0.9364,0.9364129032258065,0.00021358099542520933,0.0,68140af05bf39a1b89a5ab05
GBPEUR,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.830006,1.1761,1.1758,1.1760435483870968,0.00025509259449737776,0.0,68140af05bf39a1b89a5ab06
GBPCHF,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.838006,1.1014,1.101,1.1012887096774193,0.00036321084242943045,0.0,68140af05bf39a1b89a5ab07
USDJPY,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.846012,145.45,145.402,145.42737096774192,0.0003300616636372322,0.0,68140af05bf39a1b89a5ab08
USDINR,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.854012,84.6967,84.6967,84.6967,0.0,0.0,68140af05bf39a1b89a5ab09
USDCNY,2025-05-01 19:53:44.127245,2025-05-01 19:59:44.862524,7.2706,7.2706,7.2706,0.0,0.0,68140af05bf39a1b89a5ab0a
USDEUR,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.373686,0.8855,0.8849,0.8852274193548386,0.0006777919288099086,1.0,68140c5d5bf39a1b89a5adb5
USDCAD,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.390739,1.3848,1.3843,1.384567741935484,0.00036112353686717857,1.0,68140c5d5bf39a1b89a5adb6
USDGBP,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.402738,0.7528,0.7523,0.7525935483870968,0.0006643692349896159,1.0,68140c5d5bf39a1b89a5adb7
USDCHF,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.414822,0.8294,0.8287,0.8290564516129032,0.0008443333365758219,1.0,68140c5d5bf39a1b89a5adb8
USDAUD,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.434498,1.5665,1.5645,1.5659064516129033,0.0012772155053962365,1.0,68140c5d5bf39a1b89a5adb9
EURCHF,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.446580,0.9367,0.9363,0.9365161290322581,0.0004271149076880213,1.0,68140c5d5bf39a1b89a5adba
GBPEUR,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.458733,1.1762,1.176,1.1761548387096774,0.000170045638055098,1.0,68140c5d5bf39a1b89a5adbb
GBPCHF,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.471734,1.1018,1.1013,1.101551612903226,0.0004539051953109629,1.0,68140c5d5bf39a1b89a5adbc
USDJPY,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.484742,145.528,145.332,145.43909677419356,0.0013476431327423908,1.0,68140c5d5bf39a1b89a5adbd
USDINR,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.492743,84.6969,84.6967,84.69679193548387,2.3613645265900336e-06,0.0,68140c5d5bf39a1b89a5adbe
USDCNY,2025-05-01 19:59:45.240069,2025-05-01 20:05:49.505775,7.2706,7.2706,7.2706,0.0,0.0,68140c5d5bf39a1b89a5adbf
USDEUR,2025-05-01 20:05:49.520785,2025-05-01 20:11:49.991744,0.8856,0.8854,0.8854696428571429,0.0002258688387721,0.9208333333333333,68140dc55bf39a1b89a5b028
USDCAD,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.009259,1.3849,1.3845,1.3847625000000001,0.00028885819770535086,0.8476190476190476,68140dc65bf39a1b89a5b029
USDGBP,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.027282,0.7529,0.7527,0.7528071428571429,0.0002656722932262761,0.724907063197026,68140dc65bf39a1b89a5b02a
USDCHF,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.042291,0.8296,0.8292,0.8294071428571429,0.0004822721909797345,0.7396593673965937,68140dc65bf39a1b89a5b02b
USDAUD,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.153423,1.5666,1.5657,1.5662285714285713,0.0005746287715713184,0.6588050314465409,68140dc65bf39a1b89a5b02c
EURCHF,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.167435,0.9367,0.9365,0.9366517857142858,0.00021352652399787934,1.0,68140dc65bf39a1b89a5b02d
GBPEUR,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.178397,1.1763,1.1759,1.176167857142857,0.00034008751180433935,0.6153846153846154,68140dc65bf39a1b89a5b02e
GBPCHF,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.189642,1.1018,1.1015,1.1017142857142856,0.0002723029045642854,0.6995884773662552,68140dc65bf39a1b89a5b02f
USDJPY,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.210643,145.541,145.477,145.51114285714286,0.00043982885944910516,0.9327731092436975,68140dc65bf39a1b89a5b030
USDINR,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.228640,84.6969,84.6968,84.69683035714286,1.1806817277771507e-06,0.0,68140dc65bf39a1b89a5b031
USDCNY,2025-05-01 20:05:49.520785,2025-05-01 20:11:50.238659,7.2706,7.2706,7.2706,0.0,0.0,68140dc65bf39a1b89a5b032
USDEUR,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.452603,0.8859,0.8855,0.8856935483870968,0.00045162347713663707,1.0,68140f305bf39a1b89a5b2dd
USDCAD,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.464576,1.3849,1.3846,1.384801612903226,0.00021663752930719027,0.6714285714285714,68140f305bf39a1b89a5b2de
USDGBP,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.475573,0.753,0.7529,0.7529661290322581,0.00013280809872352818,0.5724907063197026,68140f305bf39a1b89a5b2df
USDCHF,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.486596,0.8298,0.8293,0.8295758064516129,0.0006027176734319441,0.4233576642335766,68140f305bf39a1b89a5b2e0
USDAUD,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.500569,1.5668,1.5639,1.5658693548387097,0.001852006357387723,1.0,68140f305bf39a1b89a5b2e1
EURCHF,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.516610,0.9367,0.9365,0.936608064516129,0.00021353649149209717,0.6335403726708074,68140f305bf39a1b89a5b2e2
GBPEUR,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.532023,1.1764,1.176,1.1762,0.0003400782179901003,0.9957264957264957,68140f305bf39a1b89a5b2e3
GBPCHF,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.544035,1.1019,1.1015,1.1016774193548386,0.0003630826891545303,0.7160493827160493,68140f305bf39a1b89a5b2e4
USDJPY,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.556209,145.635,145.522,145.56551612903226,0.00077628275573065,0.7759103641456583,68140f305bf39a1b89a5b2e5
USDINR,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.564243,84.6968,84.6968,84.6968,0.0,0.0,68140f305bf39a1b89a5b2e6
USDCNY,2025-05-01 20:11:50.267391,2025-05-01 20:17:52.572247,7.2706,7.2706,7.2706,0.0,0.0,68140f305bf39a1b89a5b2e7
USDEUR,2025-05-01 20:17:52.588291,2025-05-01 20:23:54.749530,0.8861,0.8858,0.8859,0.0003386386725363664,0.6416666666666667,6814109a5bf39a1b89a5b571
USDCAD,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.106728,1.3847,1.3842,1.3844813559322036,0.00036114606950649996,1.0,6814109b5bf39a1b89a5b572
USDGBP,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.128605,0.7531,0.7528,0.7529525423728813,0.00039843148554162035,0.7806691449814126,6814109b5bf39a1b89a5b573
USDCHF,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.151145,0.8301,0.8295,0.8298694915254237,0.0007230052509787347,0.6472019464720195,6814109b5bf39a1b89a5b574
USDAUD,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.188409,1.5647,1.5626,1.563871186440678,0.0013428215943920069,0.7805755395683454,6814109b5bf39a1b89a5b575
EURCHF,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.209730,0.9369,0.9366,0.9367186440677966,0.0003202669252927285,0.6645962732919255,6814109b5bf39a1b89a5b576
GBPEUR,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.235491,1.1766,1.1762,1.1764779661016949,0.0003399978678101328,0.7136752136752137,6814109b5bf39a1b89a5b577
GBPCHF,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.262601,1.1024,1.1018,1.1020813559322034,0.0005444244172814644,0.8189300411522634,6814109b5bf39a1b89a5b578
USDJPY,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.303166,145.836,145.628,145.7314915254237,0.00142728244817106,0.9159663865546218,6814109b5bf39a1b89a5b579
USDINR,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.324786,84.6968,84.6759,84.68139152542372,0.00024680747001804655,1.0,6814109b5bf39a1b89a5b57a
USDCNY,2025-05-01 20:17:52.588291,2025-05-01 20:23:55.341940,7.2706,7.2706,7.2706,0.0,0.0,6814109b5bf39a1b89a5b57b
USDEUR,2025-05-01 20:23:55.574001,2025-05-01 20:29:58.983384,0.8863,0.8858,0.8861438596491228,0.0005642424698377132,0.6625,681412075bf39a1b89a5b7ef
USDCAD,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.033165,1.3847,1.3842,1.3845087719298246,0.00036113891810379085,0.44285714285714284,681412075bf39a1b89a5b7f0
USDGBP,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.054064,0.7531,0.7528,0.7529526315789474,0.00039843143833744846,0.7360594795539034,681412075bf39a1b89a5b7f1
USDCHF,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.074164,0.8305,0.8297,0.8302,0.0009636232233197096,1.0,681412075bf39a1b89a5b7f2
USDAUD,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.102010,1.5636,1.5617,1.562659649122807,0.0012158757673601992,0.6762589928057554,681412075bf39a1b89a5b7f3
EURCHF,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.121137,0.937,0.9367,0.936838596491228,0.00032022591844921603,0.453416149068323,681412075bf39a1b89a5b7f4
GBPEUR,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.144311,1.1771,1.1763,1.1767929824561405,0.0006798137071912308,1.0,681412075bf39a1b89a5b7f5
GBPCHF,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.168609,1.103,1.1021,1.1025385964912282,0.0008162979535266195,1.0,681412075bf39a1b89a5b7f6
USDJPY,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.184309,145.833,145.777,145.8057192982456,0.0003840727254701415,0.8179271708683473,681412075bf39a1b89a5b7f7
USDINR,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.206130,84.6803,84.6731,84.67514210526316,8.503085818322943e-05,0.4,681412075bf39a1b89a5b7f8
USDCNY,2025-05-01 20:23:55.574001,2025-05-01 20:29:59.220176,7.2706,7.2706,7.2706,0.0,0.0,681412075bf39a1b89a5b7f9
USDEUR,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.507764,0.8867,0.8862,0.8865538461538461,0.0005639815361122348,0.675,681413745bf39a1b89a5ba36
USDCAD,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.521826,1.3847,1.3842,1.3844807692307695,0.00036114622254937467,0.5047619047619047,681413745bf39a1b89a5ba37
USDGBP,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.539763,0.7531,0.7529,0.7530346153846155,0.00026559204041082116,0.9814126394052045,681413745bf39a1b89a5ba38
USDCHF,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.556869,0.831,0.8305,0.8308115384615384,0.000601821203549753,1.0,681413745bf39a1b89a5ba39
USDAUD,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.587887,1.5634,1.5618,1.5627749999999998,0.0010238198077137297,0.8285371702637889,681413745bf39a1b89a5ba3a
EURCHF,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.611885,0.9373,0.937,0.9371269230769231,0.00032012739428610113,0.7515527950310559,681413745bf39a1b89a5ba3b
GBPEUR,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.633751,1.1774,1.1767,1.1772115384615385,0.0005946255002858121,0.9863481228668942,681413745bf39a1b89a5ba3c
GBPCHF,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.652623,1.1034,1.1028,1.1032384615384614,0.0005438534105883478,0.9894459102902374,681413745bf39a1b89a5ba3d
USDJPY,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.681042,145.898,145.813,145.86782692307693,0.0005827193137307277,0.9299719887955182,681413745bf39a1b89a5ba3e
USDINR,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.697546,84.6743,84.6706,84.671825,4.3698125084809976e-05,0.08888888888888889,681413745bf39a1b89a5ba3f
USDCNY,2025-05-01 20:29:59.458455,2025-05-01 20:36:04.711529,7.2706,7.2706,7.2706,0.0,0.0,681413745bf39a1b89a5ba40
USDEUR,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.022151,0.8868,0.8864,0.8865929824561404,0.00045116531251120627,0.8083333333333333,681414e35bf39a1b89a5bcb4
USDCAD,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.044889,1.3847,1.3842,1.3845192982456143,0.0003611361724127046,0.6,681414e35bf39a1b89a5bcb5
USDGBP,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.088419,0.7532,0.7529,0.7530842105263158,0.0003983618243573356,0.7546468401486989,681414e35bf39a1b89a5bcb6
USDCHF,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.123272,0.8312,0.8307,0.8309508771929824,0.0006017202866300537,0.6427378964941569,681414e35bf39a1b89a5bcb7
USDAUD,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.152211,1.5627,1.5615,1.5621456140350878,0.0007681742273053646,0.8812949640287769,681414e35bf39a1b89a5bcb8
EURCHF,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.174535,0.9373,0.9371,0.9372105263157895,0.00021339922502384352,1.0,681414e35bf39a1b89a5bcb9
GBPEUR,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.192502,1.1773,1.177,1.1772122807017544,0.0002548393394444818,0.27986348122866894,681414e35bf39a1b89a5bcba
GBPCHF,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.213360,1.1035,1.103,1.1033543859649122,0.00045316355865362507,0.6200527704485488,681414e35bf39a1b89a5bcbb
USDJPY,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.235103,145.869,145.794,145.83438596491226,0.0005142820021749441,0.7254901960784313,681414e35bf39a1b89a5bcbc
USDINR,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.256603,84.6706,84.6682,84.66908421052631,2.834564732065487e-05,0.06666666666666667,681414e35bf39a1b89a5bcbd
USDCNY,2025-05-01 20:36:04.750445,2025-05-01 20:42:11.270966,7.2706,7.2706,7.2706,0.0,0.0,681414e35bf39a1b89a5bcbe
USDEUR,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.509313,0.8869,0.8865,0.8867948275862069,0.0004510626218793346,0.95,681416515bf39a1b89a5bf3d
USDCAD,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.539433,1.3848,1.3843,1.3846206896551725,0.0003611097275488968,0.5571428571428572,681416515bf39a1b89a5bf3e
USDGBP,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.567135,0.7532,0.7531,0.753156896551724,0.000132774459688057,0.43866171003717475,681416515bf39a1b89a5bf3f
USDCHF,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.593205,0.8317,0.831,0.8314034482758621,0.0008419498396977684,0.4691151919866444,681416515bf39a1b89a5bf40
USDAUD,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.622548,1.5627,1.5615,1.5623,0.0007680983165844382,0.6894484412470024,681416515bf39a1b89a5bf41
EURCHF,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.640692,0.9378,0.9372,0.9375034482758621,0.0006399976459855994,0.7201834862385321,681416515bf39a1b89a5bf42
GBPEUR,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.660218,1.1775,1.1771,1.177351724137931,0.0003397455423041403,0.6825938566552902,681416515bf39a1b89a5bf43
GBPCHF,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.678172,1.1042,1.1033,1.103853448275862,0.0008153256226230546,0.9234828496042217,681416515bf39a1b89a5bf44
USDJPY,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.695438,145.904,145.839,145.8851724137931,0.00044555590485666197,0.4677871148459384,681416515bf39a1b89a5bf45
USDINR,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.725153,84.6682,84.667,84.66722758620689,1.4173134448926906e-05,0.044444444444444446,681416515bf39a1b89a5bf46
USDCNY,2025-05-01 20:42:11.353023,2025-05-01 20:48:17.738010,7.2706,7.2706,7.2706,0.0,0.0,681416515bf39a1b89a5bf47
USDEUR,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.325112,0.8869,0.8866,0.886761403508772,0.0003383097176003774,0.5666666666666667,681417bc5bf39a1b89a5c1bb
USDCAD,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.348590,1.3846,1.3841,1.3843561403508773,0.00036117873531677733,0.9333333333333333,681417bc5bf39a1b89a5c1bc
USDGBP,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.369727,0.7534,0.7531,0.7532122807017543,0.00039829409010758875,0.6468401486988847,681417bc5bf39a1b89a5c1bd
USDCHF,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.389473,0.8318,0.8314,0.8316,0.000481000481000428,0.3772954924874791,681417bc5bf39a1b89a5c1be
USDAUD,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.409736,1.5618,1.56,1.5608210526315789,0.0011532391858536145,0.6546762589928058,681417bc5bf39a1b89a5c1bf
EURCHF,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.425356,0.938,0.9376,0.9377807017543859,0.0004265389544182793,1.0,681417bc5bf39a1b89a5c1c0
GBPEUR,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.442740,1.1774,1.177,1.177240350877193,0.00033977768405738505,0.8771331058020477,681417bc5bf39a1b89a5c1c1
GBPCHF,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.464411,1.1042,1.1036,1.1040263157894739,0.000543465306414462,0.8311345646437994,681417bc5bf39a1b89a5c1c2
USDJPY,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.493974,145.896,145.818,145.85926315789473,0.0005347620597502842,0.773109243697479,681417bc5bf39a1b89a5c1c3
USDINR,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.526645,84.6682,84.6682,84.66820000000001,0.0,0.0,681417bc5bf39a1b89a5c1c4
USDCNY,2025-05-01 20:48:17.762192,2025-05-01 20:54:20.544719,7.2706,7.2706,7.2706,0.0,0.0,681417bc5bf39a1b89a5c1c5
USDEUR,2025-05-01 20:54:20.636208,2025-05-01 21:00:23.798176,0.8867,0.8862,0.8864245614035088,0.0005640637926462546,0.8416666666666667,681419275bf39a1b89a5c439
