currency_pair,timestamp,average_mean,average_max,average_min,average_vol,average_fd,correlation_with_btc
EURCHF,2025-05-01 19:53:44.127245,0.9369367722470464,0.9371,0.93679,0.00033083149820584997,0.7223289076300643,0.914126
EURCHF,2025-05-01 20:54:20.636208,0.9375797866713868,0.93773,0.9373900000000001,0.00036265141743599004,0.5370736529906079,-0.102612
GBPCHF,2025-05-01 19:53:44.127245,1.102532459164191,1.10276,1.1021899999999998,0.00051690319005463,0.7598683996221375,0.901853
GBPCHF,2025-05-01 20:54:20.636208,1.1034277451403844,1.10365,1.10314,0.00046219391919326004,0.8520118386349849,-0.531279
GBPEUR,2025-05-01 19:53:44.127245,1.1766853086975884,1.17683,1.1764,0.00036541036034396,0.7150724891339226,0.842286
GBPEUR,2025-05-01 20:54:20.636208,1.176880189615657,1.1770200000000002,1.1766200000000002,0.00033987957572525,0.6098976109215017,-0.744814
USDAUD,2025-05-01 19:53:44.127245,1.5637946234949045,1.56447,1.5627900000000001,0.0010742471773466501,0.7169596398353015,-0.80762
USDAUD,2025-05-01 20:54:20.636208,1.5613068985621843,1.56183,1.56048,0.00086466076888311,0.7091127098321344,0.319161
USDCAD,2025-05-01 19:53:44.127245,1.384573436405414,1.38476,1.3843,0.00033223598047184,0.6557142857142857,-0.54091
USDCAD,2025-05-01 20:54:20.636208,1.3839577803769363,1.38412,1.38373,0.00028180262743395,0.7258771929824561,-0.587732
USDCHF,2025-05-01 19:53:44.127245,0.8301831207990368,0.8304199999999999,0.82988,0.00065043442825398,0.629936755907047,0.892212
USDCHF,2025-05-01 20:54:20.636208,0.8308728826446614,0.83111,0.83058,0.00063789227130383,0.5393989983305509,-0.51843
USDCNY,2025-05-01 19:53:44.127245,7.2706,7.2706,7.2706,0.0,0.0,0.0
USDCNY,2025-05-01 20:54:20.636208,7.2706,7.2706,7.2706,0.0,0.0,0.0
USDEUR,2025-05-01 19:53:44.127245,0.8860348820275747,0.8862,0.88581,0.00044015867144697003,0.7224999999999999,0.847665
USDEUR,2025-05-01 20:54:20.636208,0.8861565418999191,0.88634,0.88595,0.00044010276186559,0.7787284118945592,-0.658189
USDGBP,2025-05-01 19:53:44.127245,0.7529418061908866,0.75305,0.7528,0.00033204598800928,0.6635687732342007,0.792381
USDGBP,2025-05-01 20:54:20.636208,0.7529144457537212,0.75304,0.75277,0.00035861834162475003,0.6646840148698885,-0.493066
USDINR,2025-05-01 19:53:44.127245,84.68199927200467,84.68457,84.681,4.2159728130998835e-05,0.15999999999999998,-0.838363
USDINR,2025-05-01 20:54:20.636208,84.58567971658456,84.62173,84.4862,0.0016027742869152602,0.6579124579124579,-0.756416
USDJPY,2025-05-01 19:53:44.127245,145.69269860114568,145.73899999999998,145.6402,0.00067824908657127,0.7338935574229692,0.793048
USDJPY,2025-05-01 20:54:20.636208,145.64796382051168,145.6965,145.5925,0.0007139851132174199,0.6707983193277312,-0.778937
